season,episode,total_lines,total_words,unique_characters,imdb_rating,vote_count,sci_density_per_100_words,avg_type_token_ratio
1,1,316,2868,10,8.1,8324,0.627,0.976
1,2,213,2484,5,8.2,6726,0.563,0.958
1,3,240,2699,9,7.6,6055,1.111,0.962
1,4,211,2493,8,8.0,6103,0.521,0.966
1,5,214,2318,8,7.8,5803,0.517,0.96
1,6,240,2306,10,8.3,6024,0.65,0.968
1,7,255,2561,7,8.0,5708,0.234,0.97
1,8,465,4695,14,8.1,5721,0.298,0.968
1,9,214,2331,10,7.9,5529,1.158,0.961
1,10,219,2561,9,8.0,5660,0.664,0.955
1,11,222,1939,6,8.2,5629,0.361,0.967
1,12,217,2551,9,7.8,5353,1.528,0.967
1,13,251,2541,10,8.2,5516,1.495,0.964
1,14,217,2459,6,8.0,5406,0.081,0.97
1,15,226,2397,7,8.2,5653,0.751,0.966
1,16,225,2625,11,8.3,5317,0.228,0.961
1,17,199,2472,5,8.5,5564,0.607,0.955
2,1,224,2532,7,8.2,5412,0.513,0.969
2,2,236,2524,7,8.0,5023,1.267,0.967
2,3,218,2437,14,8.7,5851,0.287,0.958
2,4,242,2532,9,7.8,5071,0.553,0.969
2,5,203,2152,7,8.3,5198,0.882,0.966
2,6,219,2032,9,8.1,5208,0.836,0.979
2,7,253,2258,7,8.6,5508,0.221,0.968
2,9,203,2304,6,8.0,4926,0.26,0.969
2,11,438,4703,9,9.1,8009,0.446,0.97
2,12,193,2325,7,7.8,4867,0.989,0.958
2,13,198,2354,14,7.9,4833,0.637,0.972
2,14,245,2633,6,7.9,4796,0.0,0.967
2,15,217,2312,7,8.8,5752,0.519,0.967
2,16,235,2222,6,8.1,4807,0.405,0.972
2,17,205,2730,8,8.0,5164,0.33,0.96
2,18,214,2329,6,8.1,4833,0.343,0.966
2,19,218,2312,8,8.1,4876,0.13,0.972
2,20,219,2434,7,7.8,4675,0.205,0.967
2,21,226,2284,8,8.4,5034,0.088,0.974
2,22,213,2347,9,8.1,4633,0.468,0.967
2,23,228,2413,8,8.2,4777,0.497,0.966
3,1,204,2587,7,8.2,5079,0.811,0.96
3,2,212,2431,6,7.7,4663,0.329,0.971
3,3,226,2164,10,8.1,4785,0.092,0.971
3,4,231,2451,8,8.0,4677,0.734,0.973
3,5,230,2597,8,8.3,4792,0.077,0.962
3,6,216,2522,8,7.4,4515,0.04,0.954
3,7,232,2984,8,7.7,4541,0.503,0.959
3,8,204,2155,5,8.9,6370,0.186,0.968
3,9,188,2222,11,8.3,4744,0.54,0.972
3,10,237,2443,7,8.4,4812,1.718,0.971
3,11,216,2391,5,8.3,4722,0.209,0.965
3,12,196,2258,10,8.2,4632,0.089,0.972
3,13,160,1884,9,8.0,4534,0.69,0.955
3,14,200,1947,9,8.4,4915,1.181,0.973
3,15,194,2433,5,8.0,4454,0.616,0.964
3,16,210,2682,9,8.2,4569,0.075,0.954
3,17,197,2340,7,8.4,4815,0.043,0.964
3,18,159,2478,6,8.3,4733,0.605,0.957
3,19,236,2421,7,7.8,4438,0.083,0.965
3,20,243,2350,5,8.1,4445,0.255,0.97
3,21,256,2662,6,8.1,4741,0.413,0.962
3,22,238,2241,14,9.0,6120,0.357,0.966
3,23,246,2493,11,8.6,4843,0.842,0.972
4,1,235,2395,7,8.7,5347,0.626,0.972
4,2,231,2219,7,8.3,4806,0.586,0.964
4,3,270,2742,8,7.9,4564,0.729,0.966
4,4,251,2263,9,8.0,4527,0.309,0.981
4,5,212,2305,10,7.6,4367,0.087,0.961
4,6,251,2715,5,8.0,4445,0.184,0.966
4,7,214,2582,8,8.0,4462,0.387,0.971
4,8,208,2477,10,8.1,4476,0.121,0.963
4,9,237,2731,8,8.4,4676,0.403,0.967
4,10,211,2409,8,7.6,4334,0.332,0.962
4,11,226,2060,8,8.6,4965,0.097,0.971
4,12,231,2785,5,7.5,4320,0.503,0.966
4,13,226,2358,9,8.2,4660,0.382,0.97
4,14,200,2401,7,7.7,4389,0.541,0.957
4,15,208,2433,8,7.7,4352,0.945,0.969
4,16,228,2372,9,7.8,4208,0.126,0.97
4,17,229,2718,13,7.9,4238,0.147,0.969
4,18,232,2334,7,8.1,4430,0.3,0.969
4,19,244,2541,11,8.0,4304,0.039,0.974
4,20,238,2458,11,8.2,4302,0.366,0.969
4,21,200,2086,13,8.2,4418,0.144,0.963
4,22,232,2393,12,7.7,4178,0.125,0.977
4,23,230,2342,9,8.1,4254,0.171,0.973
4,24,211,2254,10,8.5,4527,0.488,0.966
5,1,185,2317,10,8.0,4910,0.173,0.964
5,2,201,1974,9,8.0,4425,0.051,0.955
5,3,182,2119,7,7.6,4247,0.047,0.969
5,4,186,2382,9,7.8,4315,0.252,0.955
5,5,234,2711,12,8.0,4275,0.553,0.964
5,6,184,2796,8,7.5,4208,0.286,0.959
5,7,197,2079,11,8.5,5058,0.144,0.972
5,8,197,2431,7,7.6,4166,0.329,0.966
5,9,195,2468,11,8.1,4383,0.122,0.953
5,10,184,2286,10,7.9,4221,0.306,0.961
5,11,233,2618,8,7.3,4204,0.305,0.967
5,12,182,2500,10,7.6,4192,0.28,0.963
5,13,245,2431,8,8.1,4432,0.082,0.975
5,14,169,2076,12,8.2,4415,0.241,0.97
5,15,185,2579,10,7.7,4049,0.349,0.959
5,16,201,2808,9,7.5,4027,0.427,0.953
5,17,218,2423,12,7.7,4132,0.33,0.962
5,18,168,2364,10,8.2,4343,0.211,0.955
5,19,189,2701,9,8.1,4151,0.148,0.946
5,20,222,2585,13,8.0,4280,0.116,0.964
5,21,186,2123,7,8.5,4735,0.942,0.967
5,22,185,2638,12,7.7,4097,0.265,0.959
5,23,184,2327,10,8.1,4063,0.473,0.963
5,24,188,2191,15,8.5,4597,0.137,0.961
6,1,215,2293,9,7.6,5062,0.262,0.97
6,2,223,2269,10,7.6,4208,0.264,0.963
6,3,195,2327,9,7.9,4233,1.546,0.961
6,4,210,2031,15,8.2,4539,0.591,0.956
6,5,215,2452,10,8.0,4198,0.775,0.972
6,6,193,2632,8,7.8,4037,0.342,0.947
6,7,184,2628,9,7.6,4018,0.038,0.956
6,8,223,2236,8,8.4,4596,0.536,0.968
6,9,200,2343,8,8.2,4488,0.469,0.969
6,10,168,2111,7,8.0,4264,0.0,0.965
6,11,209,2807,9,7.8,4098,0.071,0.955
6,12,198,2714,10,8.4,4557,0.405,0.96
6,13,214,2404,13,8.4,4573,0.208,0.964
6,14,199,2341,8,7.7,4024,0.598,0.965
6,15,220,2584,8,8.2,4176,0.077,0.965
6,16,207,2477,12,7.8,4057,0.242,0.964
6,17,154,2101,10,7.6,3906,0.143,0.955
6,18,127,2233,11,7.7,3985,0.224,0.948
6,19,222,2417,9,8.1,4239,0.041,0.972
6,20,201,2310,10,8.0,4069,0.433,0.97
6,21,170,2311,8,8.0,4041,0.216,0.962
6,22,201,2253,10,7.9,4193,1.553,0.961
6,23,191,2292,12,8.1,4196,0.0,0.958
6,24,209,2771,8,7.7,3988,0.289,0.965
7,1,215,2445,13,7.7,4423,0.164,0.957
7,2,243,2679,9,7.9,4366,0.149,0.967
7,3,241,2509,11,8.7,5344,0.359,0.955
7,4,194,2617,12,7.8,4069,0.0,0.963
7,5,409,4978,9,7.6,3887,0.522,0.967
7,6,203,2705,9,8.4,4633,0.998,0.955
7,7,219,2493,10,7.7,3958,0.601,0.959
7,8,190,2531,9,7.5,3937,0.158,0.959
7,9,231,2421,10,8.8,5487,0.083,0.977
7,10,212,2759,13,7.6,3699,0.761,0.96
7,11,240,2285,15,8.1,4148,0.175,0.966
7,12,228,2285,14,7.4,3758,0.306,0.972
7,13,261,2549,12,7.5,3753,0.0,0.971
7,14,204,2503,11,8.0,4107,0.0,0.963
7,15,219,2485,11,8.2,4244,0.121,0.967
7,16,243,2743,13,7.6,3656,0.255,0.969
7,17,211,2589,9,7.4,3602,0.154,0.965
7,18,237,2707,10,7.4,3692,0.295,0.97
7,19,220,2431,12,8.1,3959,0.206,0.97
7,20,219,2406,11,8.0,3732,1.496,0.967
7,21,191,2358,9,7.5,3569,0.593,0.967
7,22,211,2294,8,7.7,3754,0.436,0.966
7,23,228,2384,13,7.8,3717,0.126,0.965
7,24,248,2577,11,8.0,3824,0.388,0.972
8,1,200,2703,13,7.2,4317,0.185,0.954
8,2,212,2530,9,7.5,4043,1.225,0.968
8,3,205,2260,11,7.0,3978,0.221,0.966
8,4,239,2608,9,7.2,3756,0.115,0.973
8,6,234,2985,8,7.2,3714,0.737,0.963
8,7,225,2352,13,7.7,4072,0.17,0.973
8,8,213,2616,12,8.0,4089,0.153,0.956
8,9,223,2614,7,7.5,3644,0.153,0.971
8,10,206,2530,12,7.0,3714,0.593,0.961
8,11,212,2364,10,7.4,3611,0.127,0.968
8,12,214,2701,7,7.2,3503,0.222,0.961
8,13,200,2503,9,7.4,3498,0.919,0.954
8,14,224,2545,13,8.0,3801,0.707,0.961
8,15,229,2554,12,8.1,3891,0.431,0.974
8,16,214,2483,13,7.8,3662,0.604,0.972
8,17,212,2262,9,7.5,3452,0.044,0.967
8,18,230,2504,10,7.3,3437,0.599,0.97
8,19,204,2669,10,7.5,3456,0.187,0.965
8,20,235,2677,15,7.5,3429,0.411,0.971
8,21,225,2679,13,7.0,3347,0.485,0.959
8,22,203,2160,13,7.3,3408,0.324,0.968
8,23,195,2266,10,7.5,3496,0.265,0.97
8,24,256,2439,9,7.9,3920,0.041,0.976
9,1,249,2449,11,6.8,4309,0.082,0.975
9,2,202,2395,8,7.3,3699,0.0,0.963
9,3,219,2350,7,7.7,3779,0.298,0.976
9,4,181,2394,11,7.4,3567,0.125,0.95
9,5,199,2272,11,7.4,3485,0.088,0.962
9,6,245,2737,12,7.2,3557,0.402,0.972
9,7,192,2277,10,7.9,3669,0.176,0.971
9,8,229,2516,11,7.9,3682,0.636,0.973
9,9,228,2656,13,7.7,3685,0.339,0.969
9,10,192,2445,9,8.3,4144,0.082,0.963
9,11,221,2219,12,9.0,6017,0.135,0.961
9,12,234,2570,10,7.4,3318,0.7,0.965
9,13,218,2458,10,7.4,3342,0.0,0.961
9,14,242,2718,11,7.5,3395,0.184,0.958
9,15,213,2355,13,7.5,3336,0.042,0.977
9,16,204,2341,9,7.4,3468,0.256,0.96
9,17,182,2281,17,7.6,3494,0.175,0.962
9,18,226,2566,10,7.5,3270,0.156,0.973
9,19,236,2414,8,7.4,3193,0.373,0.965
9,20,238,2219,7,7.4,3168,0.135,0.975
9,21,232,2410,8,7.4,3164,0.0,0.966
9,22,262,2743,9,7.4,3103,0.364,0.973
9,23,228,2697,11,7.4,3114,0.111,0.964
9,24,257,2433,12,7.8,3516,0.082,0.979
10,1,264,2603,16,7.8,4081,0.077,0.974
10,2,232,2645,12,7.3,3328,0.416,0.974
10,3,236,2617,12,7.2,3212,0.191,0.965
10,4,232,2489,7,7.9,3493,0.602,0.971
10,5,225,2315,8,7.4,3166,0.13,0.972
10,6,242,2401,15,7.4,3231,0.083,0.972
10,7,240,2370,10,7.9,3424,0.253,0.971
10,8,209,2261,9,8.0,3538,0.486,0.972
10,9,203,2323,12,7.4,3122,0.559,0.962
10,10,240,2548,10,7.3,3129,0.039,0.974
10,11,225,2254,9,7.6,3189,0.31,0.976
10,12,229,2346,9,7.3,3211,0.128,0.97
10,13,196,2212,7,6.9,3085,0.09,0.968
10,14,252,2920,10,7.2,3025,0.068,0.97
10,15,214,2600,9,7.3,2986,0.5,0.966
10,16,217,2313,9,7.1,2894,0.346,0.971
10,17,243,2570,8,7.4,2948,0.0,0.973
10,18,234,2775,10,7.1,2898,0.108,0.972
10,19,188,2267,7,7.1,2951,0.882,0.965
10,20,237,2445,11,7.2,2916,0.368,0.967
10,21,217,2232,11,7.2,2953,0.269,0.972
10,22,237,2649,8,6.8,2906,0.264,0.969
10,23,225,2333,10,7.1,2856,0.3,0.975
10,24,219,2068,10,8.6,4000,0.58,0.978
