season,episode,episode_imdb_id,imdb_rating,vote_count
1,1,tt0775431,8.1,8324
1,2,tt1091289,8.2,6726
1,3,tt1091290,7.6,6055
1,4,tt1091291,8.0,6103
1,5,tt1091292,7.8,5803
1,6,tt1091293,8.3,6024
1,7,tt1136041,8.0,5708
1,8,tt1127389,8.1,5721
1,9,tt1127390,7.9,5529
1,10,tt1127384,8.0,5660
1,11,tt1127385,8.2,5629
1,12,tt1127386,7.8,5353
1,13,tt1127387,8.2,5516
1,14,tt1127905,8.0,5406
1,15,tt1127906,8.2,5653
1,16,tt1127907,8.3,5317
1,17,tt1127908,8.5,5564
2,1,tt1256599,8.2,5412
2,2,tt1256030,8.0,5023
2,3,tt1256034,8.7,5851
2,4,tt1256035,7.8,5071
2,5,tt1256036,8.3,5198
2,6,tt1256037,8.1,5208
2,7,tt1256038,8.6,5508
2,8,tt1256039,8.0,4978
2,9,tt1256040,8.0,4926
2,10,tt1256020,7.6,4826
2,11,tt1256021,9.1,8009
2,12,tt1256022,7.8,4867
2,13,tt1256023,7.9,4833
2,14,tt1256024,7.9,4796
2,15,tt1256025,8.8,5752
2,16,tt1256026,8.1,4807
2,17,tt1256027,8.0,5164
2,18,tt1256028,8.1,4833
2,19,tt1256029,8.1,4876
2,20,tt1256031,7.8,4675
2,21,tt1256032,8.4,5034
2,22,tt1256033,8.1,4633
2,23,tt1426233,8.2,4777
3,1,tt1487706,8.2,5079
3,2,tt1495238,7.7,4663
3,3,tt1494210,8.1,4785
3,4,tt1523181,8.0,4677
3,5,tt1528188,8.3,4792
3,6,tt1523180,7.4,4515
3,7,tt1535334,7.7,4541
3,8,tt1536922,8.9,6370
3,9,tt1544819,8.3,4744
3,10,tt1558529,8.4,4812
3,11,tt1558530,8.3,4722
3,12,tt1567073,8.2,4632
3,13,tt1570312,8.0,4534
3,14,tt1588684,8.4,4915
3,15,tt1589887,8.0,4454
3,16,tt1592080,8.2,4569
3,17,tt1607974,8.4,4815
3,18,tt1609715,8.3,4733
3,19,tt1609410,7.8,4438
3,20,tt1628617,8.1,4445
3,21,tt1648755,8.1,4741
3,22,tt1648756,9.0,6120
3,23,tt1627740,8.6,4843
4,1,tt1632224,8.7,5347
4,2,tt1632235,8.3,4806
4,3,tt1632240,7.9,4564
4,4,tt1632241,8.0,4527
4,5,tt1632242,7.6,4367
4,6,tt1632243,8.0,4445
4,7,tt1632244,8.0,4462
4,8,tt1632245,8.1,4476
4,9,tt1632246,8.4,4676
4,10,tt1632225,7.6,4334
4,11,tt1632226,8.6,4965
4,12,tt1632227,7.5,4320
4,13,tt1632228,8.2,4660
4,14,tt1632229,7.7,4389
4,15,tt1632230,7.7,4352
4,16,tt1632231,7.8,4208
4,17,tt1632232,7.9,4238
4,18,tt1632233,8.1,4430
4,19,tt1632234,8.0,4304
4,20,tt1632236,8.2,4302
4,21,tt1632237,8.2,4418
4,22,tt1632238,7.7,4178
4,23,tt1632239,8.1,4254
4,24,tt1918407,8.5,4527
5,1,tt1980710,8.0,4910
5,2,tt2033019,8.0,4425
5,3,tt2057241,7.6,4247
5,4,tt2058495,7.8,4315
5,5,tt2063481,8.0,4275
5,6,tt2079337,7.5,4208
5,7,tt2082016,8.5,5058
5,8,tt2092310,7.6,4166
5,9,tt2100287,8.1,4383
5,10,tt2105978,7.9,4221
5,11,tt2119890,7.3,4204
5,12,tt2136314,7.6,4192
5,13,tt2139151,8.1,4432
5,14,tt2181587,8.2,4415
5,15,tt2192687,7.7,4049
5,16,tt2209665,7.5,4027
5,17,tt2220955,7.7,4132
5,18,tt2238153,8.2,4343
5,19,tt2275203,8.1,4151
5,20,tt2275201,8.0,4280
5,21,tt2300453,8.5,4735
5,22,tt2332311,7.7,4097
5,23,tt2372043,8.1,4063
5,24,tt2379487,8.5,4597
6,1,tt2194640,7.6,5062
6,2,tt2392630,7.6,4208
6,3,tt2378184,7.9,4233
6,4,tt2411550,8.2,4539
6,5,tt2411582,8.0,4198
6,6,tt2450064,7.8,4037
6,7,tt2462410,7.6,4018
6,8,tt2502436,8.4,4596
6,9,tt2505340,8.2,4488
6,10,tt2523744,8.0,4264
6,11,tt2559784,7.8,4098
6,12,tt2571320,8.4,4557
6,13,tt2582488,8.4,4573
6,14,tt2636834,7.7,4024
6,15,tt2633894,8.2,4176
6,16,tt2668846,7.8,4057
6,17,tt2697398,7.6,3906
6,18,tt2708314,7.7,3985
6,19,tt2739286,8.1,4239
6,20,tt2784494,8.0,4069
6,21,tt2833366,8.0,4041
6,22,tt2833352,7.9,4193
6,23,tt2852720,8.1,4196
6,24,tt2891288,7.7,3988
7,1,tt3111660,7.7,4423
7,2,tt2933998,7.9,4366
7,3,tt3218670,8.7,5344
7,4,tt3221722,7.8,4069
7,5,tt3229392,7.6,3887
7,6,tt3229394,8.4,4633
7,7,tt3229396,7.7,3958
7,8,tt3303726,7.5,3937
7,9,tt3309570,8.8,5487
7,10,tt3338358,7.6,3699
7,11,tt3337724,8.1,4148
7,12,tt3337728,7.4,3758
7,13,tt3337730,7.5,3753
7,14,tt3453320,8.0,4107
7,15,tt3477310,8.2,4244
7,16,tt3507240,7.6,3656
7,17,tt3521962,7.4,3602
7,18,tt3517894,7.4,3692
7,19,tt3521964,8.1,3959
7,20,tt3554854,8.0,3732
7,21,tt3572170,7.5,3569
7,22,tt3572176,7.7,3754
7,23,tt3572182,7.8,3717
7,24,tt3572184,8.0,3824
8,1,tt3596130,7.2,4317
8,2,tt3807172,7.5,4043
8,3,tt3811812,7.0,3978
8,4,tt3811814,7.2,3756
8,5,tt3811816,7.5,3870
8,6,tt3823240,7.2,3714
8,7,tt3823244,7.7,4072
8,8,tt3823242,8.0,4089
8,9,tt3823248,7.5,3644
8,10,tt3823250,7.0,3714
8,11,tt3823252,7.4,3611
8,12,tt3823254,7.2,3503
8,13,tt3862708,7.4,3498
8,14,tt3862712,8.0,3801
8,15,tt3862710,8.1,3891
8,16,tt3862714,7.8,3662
8,17,tt3862720,7.5,3452
8,18,tt3862722,7.3,3437
8,19,tt3862724,7.5,3456
8,20,tt3862726,7.5,3429
8,21,tt3862728,7.0,3347
8,22,tt3862732,7.3,3408
8,23,tt3862734,7.5,3496
8,24,tt3862738,7.9,3920
9,1,tt3603346,6.8,4309
9,2,tt4938690,7.3,3699
9,3,tt4962326,7.7,3779
9,4,tt4995126,7.4,3567
9,5,tt5027380,7.4,3485
9,6,tt5090816,7.2,3557
9,7,tt5073156,7.9,3669
9,8,tt5117928,7.9,3682
9,9,tt5143500,7.7,3685
9,10,tt5143508,8.3,4144
9,11,tt5143516,9.0,6017
9,12,tt5273742,7.4,3318
9,13,tt5273740,7.4,3342
9,14,tt5295650,7.5,3395
9,15,tt5341496,7.5,3336
9,16,tt5376678,7.4,3468
9,17,tt5436356,7.6,3494
9,18,tt5497250,7.5,3270
9,19,tt5522908,7.4,3193
9,20,tt5586046,7.4,3168
9,21,tt5586050,7.4,3164
9,22,tt5597958,7.4,3103
9,23,tt5597960,7.4,3114
9,24,tt5562854,7.8,3516
10,1,tt3603372,7.8,4081
10,2,tt5973910,7.3,3328
10,3,tt5996928,7.2,3212
10,4,tt6062772,7.9,3493
10,5,tt6077690,7.4,3166
10,6,tt5825290,7.4,3231
10,7,tt6186420,7.9,3424
10,8,tt6189462,8.0,3538
10,9,tt6214960,7.4,3122
10,10,tt6255718,7.3,3129
10,11,tt6255770,7.6,3189
10,12,tt6320950,7.3,3211
10,13,tt6337212,6.9,3085
10,14,tt6414316,7.2,3025
10,15,tt6438684,7.3,2986
10,16,tt6495864,7.1,2894
10,17,tt6527026,7.4,2948
10,18,tt6565510,7.1,2898
10,19,tt6565514,7.1,2951
10,20,tt6565516,7.2,2916
10,21,tt6565524,7.2,2953
10,22,tt6565530,6.8,2906
10,23,tt6706250,7.1,2856
10,24,tt6706254,8.6,4000
